age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,0,36,101,0,16.6,10.6,0,0,0,0,0,0
12-15,3,83,40,60,26.2,14,0,0,0,0,0,0
16-19,8,478,66,218.9,110,47.1,0,0,0,0,0,0
20-29,10,917,116,90.8,81.7,70.8,0,0,1,0,0,0.6
30-39,24,789,131,148.6,74.9,106.9,1,1,1,6.2,0.1,0.8
40-49,44,890,95,194.5,90.6,102.5,0,4,0,0,0.4,0
50-59,74,930,111,212.3,118.8,229.6,0,7,2,0,0.9,4.1
60-69,227,1643,132,290.6,270.2,244.2,0,16,2,0,2.6,3.7
70-79,489,1579,112,411.6,399.1,2765.4,7,36,6,5.9,9.1,148.1
80+,535,1280,161,764.2,655.2,1258.6,7,43,14,10,22,109.4
