period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,174,337,19.82,38.38
3_Month,5-11,428,853,17.71,35.29
6_Month,5-11,2989,9781,10.01,32.77
1_Year,5-11,5279,51705,1.08,10.54
All,5-11,5279,53545,0.73,7.38
1_Month,12-15,390,167,39.16,16.77
3_Month,12-15,730,389,30.63,16.32
6_Month,12-15,2356,2454,16.1,16.77
1_Year,12-15,9510,17755,3.99,7.45
All,12-15,9575,19121,2.75,5.49
1_Month,16-19,944,130,46.12,6.35
3_Month,16-19,1589,227,42.04,6.01
6_Month,16-19,4668,1225,25.52,6.7
1_Year,16-19,16122,10126,8.05,5.06
All,16-19,16340,11412,5.25,3.66
1_Month,20-29,2339,200,45.98,3.93
3_Month,20-29,3988,405,40.71,4.13
6_Month,20-29,13463,2953,24.26,5.32
1_Year,20-29,40737,19399,9.29,4.42
All,20-29,41250,22016,6.23,3.32
1_Month,30-39,2305,282,42.24,5.17
3_Month,30-39,4004,527,36.38,4.79
6_Month,30-39,14971,3763,22.05,5.54
1_Year,30-39,39809,18503,8.22,3.82
All,30-39,40278,20396,6,3.04
1_Month,40-49,2831,210,46.89,3.48
3_Month,40-49,4884,448,39.2,3.6
6_Month,40-49,15160,2962,21.81,4.26
1_Year,40-49,37011,13843,8.14,3.05
All,40-49,37426,15035,6.16,2.47
1_Month,50-59,2280,195,36.56,3.13
3_Month,50-59,4005,393,30.47,2.99
6_Month,50-59,11268,1878,16.8,2.8
1_Year,50-59,24916,7737,7.56,2.35
All,50-59,25165,8300,5.83,1.92
1_Month,60-69,1884,140,28.39,2.11
3_Month,60-69,3388,232,22.4,1.53
6_Month,60-69,8947,1075,12.05,1.45
1_Year,60-69,16782,4150,6.39,1.58
All,60-69,16955,4380,5.17,1.34
1_Month,70-79,1236,56,18.88,0.86
3_Month,70-79,2346,118,14.9,0.75
6_Month,70-79,5856,481,8.52,0.7
1_Year,70-79,9183,1365,5.14,0.76
All,70-79,9280,1459,4.38,0.69
1_Month,80+,827,76,17.85,1.64
3_Month,80+,1522,136,15.13,1.35
6_Month,80+,4020,391,10.04,0.98
1_Year,80+,5921,877,6.43,0.95
All,80+,6001,947,5.24,0.83
