age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized
12-15,175700,40371,402017,95,261,2115,54.1,646.5,526.1,0,0,2,0,0,0.5
16-19,426385,24512,132648,1204,58,619,282.4,236.6,466.6,0,0,1,0,0,0.8
20-29,989188,42020,269153,3391,92,1185,342.8,218.9,440.3,1,0,2,0.1,0,0.7
30-39,967070,32879,197077,3650,66,1047,377.4,200.7,531.3,0,0,9,0,0,4.6
40-49,925892,25162,147502,3666,36,803,395.9,143.1,544.4,4,0,19,0.4,0,12.9
50-59,746718,16948,86300,2642,32,477,353.8,188.8,552.7,17,1,18,2.3,5.9,20.9
60-69,664670,10473,66496,2284,17,301,343.6,162.3,452.7,48,2,31,7.2,19.1,46.6
70-79,463692,5773,21319,1531,16,162,330.2,277.2,759.9,70,2,21,15.1,34.6,98.5
80-89,208573,3905,13060,713,9,106,341.8,230.5,811.6,81,2,30,38.8,51.2,229.7
90+,46511,1764,3221,192,6,36,412.8,340.1,1117.7,17,3,6,36.6,170.1,186.3
