age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,216071,162647,618088,35,26.3,4,0
16-19,450897,397253,583545,77.3,68.1,23,0
20-29,1031208,941010,1300361,79.3,72.4,210,0
30-39,999949,931886,1197026,83.5,77.9,557,0
40-49,951054,891954,1098556,86.6,81.2,1864,0.2
50-59,763666,719531,849966,89.8,84.7,3710,0.4
60-69,675143,646886,741639,91,87.2,249045,33.6
70-79,469465,457014,490784,95.7,93.1,242521,49.4
80-89,212478,206520,225538,94.2,91.6,100715,44.7
90+,48275,46481,51496,93.7,90.3,20875,40.5
