age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,8.5,78,13.4
12-15,65.6,54.6,14.9,0,14,43.4,42.7
16-19,89.3,78.2,46,0.2,15.1,22.6,62.3
20-29,85.6,77.1,54.7,0.8,15.3,13.3,71.4
30-39,88.9,82,59.7,2,17.2,10.6,72.2
40-49,90.6,84.7,67,3.5,17.6,9,73.4
50-59,91.2,86.6,73.3,7.2,17.9,6.7,75.4
60-69,93.2,90.3,80.8,34,15.2,7.7,77
70-79,92.1,90.6,87.3,54.5,14.8,4,81.2
80+,95.3,93.2,87.5,58,13.6,6.1,80.3
