period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,1561,5774,8.99,33.24
3_Month,5-11,2603,10036,7.55,29.11
6_Month,5-11,3871,32610,1.37,11.56
1_Year,5-11,4383,51036,0.72,8.34
All,5-11,4383,51407,0.61,7.15
1_Month,12-15,877,1189,13.39,18.16
3_Month,12-15,1742,2401,10.26,14.14
6_Month,12-15,5146,8553,4.14,6.88
1_Year,12-15,8498,17995,3.11,6.59
All,12-15,8499,18358,2.47,5.34
1_Month,16-19,1985,634,21.84,6.97
3_Month,16-19,3043,1041,17.79,6.09
6_Month,16-19,7929,3609,7.65,3.48
1_Year,16-19,14101,10708,6.36,4.83
All,16-19,14137,11010,4.63,3.61
1_Month,20-29,6175,1707,21.28,5.88
3_Month,20-29,9133,2634,17.34,5
6_Month,20-29,21447,7771,8.97,3.25
1_Year,20-29,35173,20674,7.22,4.24
All,20-29,35235,21181,5.47,3.29
1_Month,30-39,7100,2124,19.63,5.87
3_Month,30-39,10392,3311,15.71,5.01
6_Month,30-39,22793,8961,7.85,3.09
1_Year,30-39,33806,18924,6.36,3.56
All,30-39,33890,19275,5.22,2.97
1_Month,40-49,6434,1606,18.26,4.56
3_Month,40-49,9746,2499,14.59,3.74
6_Month,40-49,20197,6601,7.34,2.4
1_Year,40-49,30131,13847,6.23,2.87
All,40-49,30229,14107,5.17,2.41
1_Month,50-59,4530,975,13.58,2.92
3_Month,50-59,6825,1477,10.91,2.36
6_Month,50-59,13487,3718,6.55,1.81
1_Year,50-59,19359,7452,5.79,2.23
All,50-59,19423,7631,4.76,1.87
1_Month,60-69,3408,552,9.44,1.53
3_Month,60-69,5070,813,7.56,1.21
6_Month,60-69,8691,1979,5.18,1.18
1_Year,60-69,12086,3868,4.8,1.53
All,60-69,12137,3966,4.05,1.32
1_Month,70-79,2043,242,6.49,0.77
3_Month,70-79,3065,343,5.21,0.58
6_Month,70-79,4445,707,3.83,0.61
1_Year,70-79,5867,1214,3.68,0.76
All,70-79,5891,1265,3.2,0.69
1_Month,80+,1419,145,7.89,0.81
3_Month,80+,1954,219,6.45,0.72
6_Month,80+,2755,434,4.75,0.75
1_Year,80+,3610,687,4.51,0.86
All,80+,3642,733,3.76,0.76
