age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,88899,276,29,7.2,0,0,0.04,99.96,0
12-15,380837,305273,2929,59.9,48,0.5,58.51,41.48,0.01
16-19,518797,451331,210731,87.7,76.3,35.6,64.46,20.88,14.66
20-29,1113016,994348,660425,84.4,75.4,50.1,66.74,15.69,17.57
30-39,1061979,973254,667374,88,80.6,55.3,70.13,12.6,17.28
40-49,996868,926432,702371,89.7,83.4,63.2,76.26,10.5,13.24
50-59,791534,745576,610963,90.5,85.2,69.9,80.6,8.87,10.53
60-69,689868,663663,579654,92.3,88.8,77.6,85.61,7.64,6.75
70-79,477029,466590,439208,90.5,88.5,83.4,88.29,6.55,5.16
80-89,215860,210491,192232,90.4,88.2,80.5,85.31,7.44,7.25
90+,49137,47351,42134,83.7,80.7,71.8,75.68,11.43,12.89
