period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,190,1047,2.43,13.37
3_Month,5-11,931,10416,0.86,9.66
6_Month,5-11,1872,40163,0.41,8.71
1_Year,5-11,1872,41615,0.32,7.11
All,5-11,1872,41817,0.27,6.09
1_Month,12-15,167,263,4.35,6.85
3_Month,12-15,1609,2757,3.29,5.64
6_Month,12-15,6816,14796,3.1,6.72
1_Year,12-15,6875,15818,2.64,6.08
All,12-15,6875,16033,2.1,4.89
1_Month,16-19,265,125,8.11,3.82
3_Month,16-19,2230,1011,5.6,2.54
6_Month,16-19,10986,8749,6.15,4.9
1_Year,16-19,11166,9725,5.41,4.71
All,16-19,11177,10002,3.87,3.46
1_Month,20-29,829,277,7.81,2.61
3_Month,20-29,6240,2217,6.35,2.26
6_Month,20-29,25922,16096,6.97,4.33
1_Year,20-29,26346,18186,5.99,4.14
All,20-29,26373,18631,4.44,3.14
1_Month,30-39,985,292,6.39,1.89
3_Month,30-39,6422,2481,5.36,2.07
6_Month,30-39,23400,14241,5.81,3.53
1_Year,30-39,23763,15754,5.03,3.34
All,30-39,23808,16064,4.05,2.73
1_Month,40-49,815,249,5.5,1.68
3_Month,40-49,5426,1811,4.77,1.59
6_Month,40-49,20395,10532,5.51,2.84
1_Year,40-49,20691,11446,4.89,2.7
All,40-49,20734,11674,3.97,2.24
1_Month,50-59,587,143,4.57,1.11
3_Month,50-59,3564,1036,4.29,1.25
6_Month,50-59,12570,5651,5.08,2.28
1_Year,50-59,12732,6031,4.6,2.18
All,50-59,12773,6190,3.66,1.78
1_Month,60-69,445,87,3.4,0.66
3_Month,60-69,2105,536,3.28,0.83
6_Month,60-69,7067,2958,4.11,1.72
1_Year,60-69,7169,3096,3.76,1.63
All,60-69,7195,3174,3.04,1.34
1_Month,70-79,224,37,2.24,0.37
3_Month,70-79,851,186,2.09,0.46
6_Month,70-79,2829,835,2.98,0.88
1_Year,70-79,2890,878,2.75,0.84
All,70-79,2908,925,2.27,0.72
1_Month,80+,161,23,3.22,0.46
3_Month,80+,518,113,2.72,0.59
6_Month,80+,1681,453,3.68,0.99
1_Year,80+,1728,476,3.34,0.92
All,80+,1752,520,2.57,0.76
