age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,333252,257678,635971,52.4,40.5,296,0
16-19,493570,427823,591331,83.5,72.3,119998,20.3
20-29,1065547,963791,1319364,80.8,73,402878,30.5
30-39,1028504,950992,1207243,85.2,78.8,453322,37.6
40-49,973083,909041,1110965,87.6,81.8,550659,49.6
50-59,777204,733530,874608,88.9,83.9,521070,59.6
60-69,682531,655902,747217,91.3,87.8,534767,71.6
70-79,473628,462147,526929,89.9,87.7,417613,79.3
80-89,214365,208548,238729,89.8,87.4,182270,76.4
90+,48730,46904,58687,83,79.9,39248,66.9
