age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,48793,256,29,3.9,0,0,0.03,99.97,0
12-15,374477,303489,1148,58.9,47.7,0.2,58.41,41.58,0.01
16-19,517893,450341,206589,87.6,76.2,34.9,64.01,20.96,15.03
20-29,1111103,992252,653737,84.2,75.2,49.5,66.3,15.88,17.82
30-39,1060627,971930,661391,87.9,80.5,54.8,69.77,12.72,17.51
40-49,995981,925456,698543,89.7,83.3,62.9,75.99,10.6,13.41
50-59,790997,744862,608509,90.4,85.2,69.6,80.36,8.99,10.65
60-69,689546,663218,578380,92.3,88.8,77.4,85.48,7.71,6.81
70-79,476861,466356,438426,90.5,88.5,83.2,88.08,6.72,5.2
80-89,215801,210385,191908,90.4,88.1,80.4,85.13,7.59,7.28
90+,49119,47322,42027,83.7,80.6,71.6,75.42,11.69,12.88
