period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,599,1894,10.76,34.02
3_Month,5-11,2746,10041,8.38,30.66
6_Month,5-11,3556,17379,3.36,16.41
1_Year,5-11,4656,51616,0.78,8.61
All,5-11,4656,52154,0.65,7.23
1_Month,12-15,332,405,14.29,17.43
3_Month,12-15,1768,2390,11.16,15.09
6_Month,12-15,2914,4324,5.77,8.56
1_Year,12-15,8634,18061,3.21,6.72
All,12-15,8643,18555,2.51,5.38
1_Month,16-19,897,263,24.31,7.13
3_Month,16-19,3295,1095,19.15,6.37
6_Month,16-19,4979,1877,10.55,3.98
1_Year,16-19,14439,10679,6.6,4.88
All,16-19,14528,11118,4.74,3.62
1_Month,20-29,3026,702,23.46,5.44
3_Month,20-29,10042,2799,18.65,5.2
6_Month,20-29,15049,4556,11.21,3.39
1_Year,20-29,36386,20720,7.55,4.3
All,20-29,36543,21477,5.63,3.31
1_Month,30-39,3391,909,22.08,5.92
3_Month,30-39,11472,3553,17.15,5.31
6_Month,30-39,16565,5446,10.2,3.35
1_Year,30-39,35292,19160,6.69,3.63
All,30-39,35440,19689,5.4,3
1_Month,40-49,2989,665,20.14,4.48
3_Month,40-49,10753,2698,15.92,3.99
6_Month,40-49,15048,4119,9.51,2.6
1_Year,40-49,31476,14042,6.56,2.93
All,40-49,31640,14416,5.35,2.44
1_Month,50-59,2300,411,15.94,2.85
3_Month,50-59,7640,1593,11.93,2.49
6_Month,50-59,10529,2427,7.9,1.82
1_Year,50-59,20402,7585,6.11,2.27
All,50-59,20511,7806,4.95,1.88
1_Month,60-69,1780,239,10.84,1.45
3_Month,60-69,5729,901,8.27,1.3
6_Month,60-69,7482,1328,5.96,1.06
1_Year,60-69,12913,3964,5.08,1.56
All,60-69,13011,4084,4.23,1.33
1_Month,70-79,1175,112,7.77,0.74
3_Month,70-79,3577,381,5.78,0.62
6_Month,70-79,4322,530,4.37,0.54
1_Year,70-79,6474,1251,3.95,0.76
All,70-79,6520,1313,3.41,0.69
1_Month,80+,965,111,9.87,1.13
3_Month,80+,2413,260,7.27,0.78
6_Month,80+,2865,349,5.73,0.7
1_Year,80+,4139,732,4.99,0.88
All,80+,4190,788,4.11,0.77
