age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,18,88,271,100.5,39.5,29,0,0,0,0,0,0
12-15,8,92,88,33.7,29,32.5,0,0,0,0,0,0
16-19,14,291,68,57.8,68.9,51.2,0,0,1,0,0,0.8
20-29,48,1072,243,75.7,100.8,141.3,0,4,1,0,0.4,0.6
30-39,48,1120,264,68.6,112.3,210.7,0,1,1,0,0.1,0.8
40-49,59,1181,193,85.7,126.8,195.7,0,2,0,0,0.2,0
50-59,84,1221,173,133,163.6,304.5,0,8,4,0,1.1,7
60-69,179,3031,262,351.1,478.7,463.8,1,24,8,2,3.8,14.2
70-79,208,3282,228,569.5,707.4,1252.1,4,41,5,11,8.8,27.5
80+,200,2911,297,1113.6,1193.5,1808.1,8,63,19,44.5,25.8,115.7
