age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.1,0,13.4,77.3,9.3
12-15,65.6,54.6,14.9,0,22,43,35
16-19,89.3,78.2,45.9,0.2,22.6,22.5,54.9
20-29,85.6,77.1,54.7,0.8,21.2,13.4,65.4
30-39,88.9,82,59.7,2,23.4,10.6,66
40-49,90.5,84.7,67,3.4,23.9,9,67.1
50-59,91.2,86.5,73.3,7.1,23.6,6.8,69.6
60-69,93.1,90.3,80.8,33.9,25.9,7.8,66.3
70-79,92.1,90.6,87.3,54.4,28.1,4.2,67.7
80+,95.3,93.2,87.5,57.9,29.5,6.1,64.3
