age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,220083,87003,36,17.8,7,0,6.93,93.07,0
12-15,399685,323357,31231,62.8,50.8,4.9,59.08,40.89,0.03
16-19,522790,455053,233231,88.4,77,39.4,66.48,20.49,13.04
20-29,1120581,1001813,684637,84.9,75.9,51.9,68.66,15.09,16.25
30-39,1067467,978824,689098,88.4,81.1,57.1,71.87,12.09,16.04
40-49,1000647,930760,717909,90.1,83.8,64.6,77.55,10.1,12.34
50-59,793731,748491,620464,90.8,85.6,70.9,81.63,8.45,9.91
60-69,691206,665688,585301,92.5,89.1,78.3,86.09,7.47,6.44
70-79,477670,467781,442523,90.7,88.8,84,89.05,6.01,4.94
80-89,216140,210954,193537,90.5,88.4,81.1,86.44,6.47,7.09
90+,49226,47463,42492,83.9,80.9,72.4,78.37,8.64,12.99
