age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
12-15,195,0,1591,59,0,619.1,0,0,1,0,0,0.4
16-19,220,347,786,68,343.5,612.9,0,0,1,0,0,0.8
20-29,549,938,1374,73.2,367.7,600.5,1,2,12,0.1,0.8,5.2
30-39,573,986,1369,76.5,435.3,831.9,0,1,24,0,0.4,14.6
40-49,418,678,960,53.9,418,759.2,2,2,50,0.3,1.2,39.5
50-59,263,382,585,39.9,379.2,672.2,8,8,70,1.2,7.9,80.4
60-69,237,205,373,38.4,374.8,605.8,19,11,68,3.1,20.1,110.4
70-79,179,107,234,39.9,362.9,555.5,18,11,50,4,37.3,118.7
80-89,121,52,142,61.8,286.5,692.2,10,4,28,5.1,22,136.5
90+,38,11,35,91.6,148.2,440.8,2,0,8,4.8,0,100.7
