age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,351870,278338,635971,55.3,43.8,432,0.1
16-19,506081,437407,591331,85.6,74,169359,28.6
20-29,1087981,975173,1319364,82.5,73.9,559928,42.4
30-39,1045468,959922,1207243,86.6,79.5,588958,48.8
40-49,985779,916719,1110965,88.7,82.5,651122,58.6
50-59,784775,739094,874608,89.7,84.5,580307,66.4
60-69,686037,659359,747217,91.8,88.2,562965,75.3
70-79,474983,464098,526929,90.1,88.1,429726,81.6
80-89,214981,209301,238729,90.1,87.7,187592,78.6
90+,48882,47073,58687,83.3,80.2,40634,69.2
