priod_Desc,visited_country,colorName,color_number,sum_arrived,sum_positived,percent_positive,last_update_date
year,ניגריה,כתום,2,825,5,0.61,
year,מלאווי,כתום,2,210,0,0,
year,בורונדי,כתום,2,10,0,0,
year,אוזבקיסטן,כתום,2,2711,104,3.84,
year,פרו,כתום,2,881,18,2.04,
year,סלובקיה,כתום,2,1513,4,0.26,
year,תאילנד,כתום,2,7031,17,0.24,
year,ארצות הברית,כתום,2,298789,1826,0.61,
year,איטליה,צהוב,3,60385,148,0.25,
year,קמבודיה,כתום,2,16,0,0,
year,קולומביה,כתום,2,904,7,0.77,
year,הונגריה,כתום,2,39816,219,0.55,
year,מקאו,כתום,2,19,0,0,
year,תורכיה,כתום,2,102235,1428,1.4,
year,אפגניסטן,כתום,2,7,0,0,
year,ליבריה,כתום,2,24,0,0,
year,פינלנד,כתום,2,2626,8,0.3,
year,מרוקו,כתום,2,2826,60,2.12,
year,רוסיה,כתום,2,29484,354,1.2,
year,קרואטיה,כתום,2,2552,40,1.57,
year,אוסטריה,צהוב,3,62229,235,0.38,
year,עירק,כתום,2,105,1,0.95,
year,סרביה,כתום,2,5145,44,0.86,
year,לוב,כתום,2,4,0,0,
year,קונגו,כתום,2,36,2,5.56,
year,זימבאבווה,כתום,2,95,0,0,
year,ארגנטינה,כתום,2,1289,6,0.47,
year,קירג'זסטאן,כתום,2,543,33,6.08,
year,קמרון,כתום,2,99,4,4.04,
year,מאוריציוס,כתום,2,47,0,0,
year,בנגלדש,כתום,2,3,0,0,
year,פרגוואי,כתום,2,157,1,0.64,
year,אנגולה,כתום,2,223,1,0.45,
year,איי נורפולק,כתום,2,2,0,0,
year,טיוואן,צהוב,3,186,0,0,
year,פלאו,כתום,2,1,0,0,
year,גבון,כתום,2,30,0,0,
year,נמיביה,כתום,2,118,0,0,
year,מצרים,כתום,2,122884,617,0.5,
year,פולין,כתום,2,22591,98,0.43,
year,גווטאמלה,כתום,2,313,12,3.83,
year,בילורוסיה,כתום,2,8993,88,0.98,
year,יוון,כתום,2,205532,1069,0.52,
year,ברזיל,כתום,2,973,7,0.72,
year,אנדורה,כתום,2,19,0,0,
year,אינדונזיה,כתום,2,51,0,0,
year,נורבגיה,כתום,2,580,3,0.52,
year,סנגל,כתום,2,75,0,0,
year,מקדוניה,כתום,2,173,2,1.16,
year,ניגר,כתום,2,12,0,0,
year,סלובניה,כתום,2,1569,7,0.45,
year,קזחסטאן,כתום,2,816,27,3.31,
year,בוטסואנה,כתום,2,134,0,0,
year,צכיה,צהוב,3,35518,199,0.56,
year,פאפואה,כתום,2,13,0,0,
year,איי סיישל,כתום,2,5656,10,0.18,
year,גואם,כתום,2,1,0,0,
year,סינגפור,כתום,2,479,2,0.42,
year,קוסובו,צהוב,3,68,0,0,
year,אריתראה,כתום,2,4,0,0,
year,אלבניה,כתום,2,1683,7,0.42,
year,אירלנד,כתום,2,1167,0,0,
year,איי קוק,כתום,2,3,0,0,
year,כווית,כתום,2,7,0,0,
year,אתיופיה,כתום,2,3912,45,1.15,
year,האיטי,כתום,2,4,0,0,
year,בנין (דהומי),כתום,2,5,0,0,
UpToNow,צרפת,צהוב,3,96308,428,0.44,
UpToNow,סווזילנד,כתום,2,10,0,0,
UpToNow,מזרח טימור,כתום,2,2,0,0,
UpToNow,מונטנגרו,כתום,2,10843,73,0.67,
UpToNow,דרום סודאן,כתום,2,44,0,0,
UpToNow,לבנון,כתום,2,163,0,0,
UpToNow,ברבדוס,כתום,2,10,0,0,
UpToNow,ליטא,כתום,2,4063,12,0.3,
