age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
12-15,157,0,1303,47.1,0,510.2,0,0,1,0,0,0.4
16-19,173,256,619,52.5,257.6,488,0,0,1,0,0,0.8
20-29,410,682,1125,53.6,271.6,497.4,0,3,10,0,1.2,4.4
30-39,459,763,1137,60.2,341.2,698.9,0,1,20,0,0.4,12.3
40-49,358,511,804,45.6,319.8,641.7,3,2,46,0.4,1.3,36.7
50-59,202,275,471,30.4,277.5,546.8,8,8,66,1.2,8.1,76.6
60-69,188,150,318,30.3,278.6,519.9,19,9,63,3.1,16.7,103
70-79,141,87,210,31.3,299.8,503.7,16,8,41,3.6,27.6,98.3
80-89,104,46,116,53,257.4,569.2,9,5,19,4.6,28,93.2
90+,35,8,29,84,108.7,369,2,0,6,4.8,0,76.3
