age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,354048,281160,635971,55.7,44.2,448,0.1
16-19,507657,438698,591331,85.8,74.2,174575,29.5
20-29,1090956,976615,1319364,82.7,74,574858,43.6
30-39,1047449,960999,1207243,86.8,79.6,599910,49.7
40-49,987055,917481,1110965,88.8,82.6,658486,59.3
50-59,785610,739597,874608,89.8,84.6,584800,66.9
60-69,686450,659710,747217,91.9,88.3,565305,75.7
70-79,475177,464300,526929,90.2,88.1,431017,81.8
80-89,215079,209369,238729,90.1,87.7,188257,78.9
90+,48909,47088,58687,83.3,80.2,40878,69.7
