period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,154,298,18.27,35.35
3_Month,5-11,448,1052,14.49,34.03
6_Month,5-11,3192,11082,8.91,30.94
1_Year,5-11,5102,51464,1.03,10.36
All,5-11,5102,53195,0.7,7.35
1_Month,12-15,216,113,29.11,15.23
3_Month,12-15,540,403,22.41,16.72
6_Month,12-15,2304,2789,12.64,15.3
1_Year,12-15,9120,17628,3.82,7.38
All,12-15,9179,18954,2.64,5.46
1_Month,16-19,450,54,42.06,5.05
3_Month,16-19,854,161,32.78,6.18
6_Month,16-19,4142,1255,20.93,6.34
1_Year,16-19,15166,10016,7.63,5.04
All,16-19,15375,11278,4.97,3.65
1_Month,20-29,1127,119,40.89,4.32
3_Month,20-29,2338,337,31.24,4.5
6_Month,20-29,12368,3133,20.19,5.11
1_Year,20-29,38388,19251,8.83,4.43
All,20-29,38870,21810,5.92,3.32
1_Month,30-39,1084,138,35.73,4.55
3_Month,30-39,2500,434,27.67,4.8
6_Month,30-39,13954,3978,18.39,5.24
1_Year,30-39,37482,18272,7.8,3.8
All,30-39,37920,20115,5.7,3.02
1_Month,40-49,1347,130,37.62,3.63
3_Month,40-49,2897,413,28.25,4.03
6_Month,40-49,13638,3105,17.55,4
1_Year,40-49,34141,13661,7.59,3.04
All,40-49,34526,14822,5.74,2.46
1_Month,50-59,1128,121,29.85,3.2
3_Month,50-59,2329,302,21.72,2.82
6_Month,50-59,9957,1891,13.33,2.53
1_Year,50-59,22595,7549,6.98,2.33
All,50-59,22831,8102,5.37,1.91
1_Month,60-69,918,49,20.91,1.12
3_Month,60-69,2016,165,15.42,1.26
6_Month,60-69,7736,1060,9.4,1.29
1_Year,60-69,14859,4015,5.8,1.57
All,60-69,15022,4241,4.68,1.32
1_Month,70-79,632,32,14.55,0.74
3_Month,70-79,1501,91,10.75,0.65
6_Month,70-79,5071,468,6.7,0.62
1_Year,70-79,7921,1307,4.6,0.76
All,70-79,8013,1400,3.9,0.68
1_Month,80+,409,35,15,1.28
3_Month,80+,982,83,12.24,1.03
6_Month,80+,3374,341,8.2,0.83
1_Year,80+,5071,801,5.8,0.92
All,80+,5151,870,4.69,0.79
