age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,791,1,9580,716.8,3448.3,998.1,0,0,0,0,0,0
12-15,5526,5,3060,1541.2,389.4,1247.5,0,0,0,0,0,0
16-19,4302,759,1715,1121.1,1068.5,1481.1,0,0,1,0,0,0.9
20-29,10208,1786,3343,1148.3,885.2,1755.1,1,0,2,0.1,0,1.1
30-39,7920,1740,2036,929.3,949,1453.4,1,0,6,0.1,0,4.3
40-49,8480,1198,1587,998.3,917.4,1463.1,0,0,13,0,0,12
50-59,5375,563,853,760.8,676.4,1189.2,1,3,23,0.1,3.6,32.1
60-69,3867,232,435,605.3,497.4,792.9,9,3,15,1.4,6.4,27.3
70-79,2183,92,170,467.4,362.7,555.3,10,4,9,2.1,15.8,29.4
80-89,699,37,76,341.7,225,513.9,14,2,13,6.8,12.2,87.9
90+,159,8,20,352.4,108.8,438.3,5,0,2,11.1,0,43.8
