age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,257811,109538,44,20.8,8.8,0,10.31,89.69,0
12-15,405729,327848,50698,63.8,51.6,8,59.25,40.53,0.21
16-19,524525,456682,245093,88.7,77.2,41.4,67.25,20.3,12.45
20-29,1123364,1004448,693980,85.1,76.1,52.6,69.38,14.87,15.75
30-39,1069478,980837,697126,88.6,81.2,57.7,72.49,11.92,15.6
40-49,1002079,932407,724472,90.2,83.9,65.2,78.04,9.97,12
50-59,794525,749648,625097,90.8,85.7,71.5,82.01,8.33,9.66
60-69,691711,666776,589214,92.6,89.2,78.9,86.29,7.41,6.3
70-79,477952,468476,445417,90.7,88.9,84.5,89.3,5.85,4.85
80-89,216267,211199,194833,90.6,88.5,81.6,86.76,6.27,6.97
90+,49284,47538,42871,84,81,73.1,79.11,8,12.89
