age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,320051,232483,635971,50.3,36.6,226,0
16-19,487991,419366,591331,82.5,70.9,97703,16.5
20-29,1059293,958411,1319364,80.3,72.6,334177,25.3
30-39,1023653,946147,1207243,84.8,78.4,389097,32.2
40-49,969404,904975,1110965,87.3,81.5,498902,44.9
50-59,775052,730674,874608,88.6,83.5,492142,56.3
60-69,681535,654020,747217,91.2,87.5,520831,69.7
70-79,473157,461119,526929,89.8,87.5,410926,78
80-89,214146,208138,238729,89.7,87.2,179497,75.2
90+,48688,46816,58687,83,79.8,38554,65.7
