age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,160787,46113,33,13,3.7,0,1.87,98.12,0
12-15,391503,315822,13276,61.6,49.7,2.1,58.72,41.26,0.02
16-19,521010,453468,221592,88.1,76.7,37.5,65.66,20.63,13.72
20-29,1117387,998788,674803,84.7,75.7,51.1,67.92,15.29,16.79
30-39,1065129,976538,680271,88.2,80.9,56.3,71.19,12.27,16.53
40-49,999009,928994,711288,89.9,83.6,64,77.03,10.28,12.69
50-59,792825,747257,616251,90.6,85.4,70.5,81.23,8.6,10.16
60-69,690671,664805,582704,92.4,89,78,85.94,7.5,6.56
70-79,477428,467265,440921,90.6,88.7,83.7,88.85,6.11,5.04
80-89,216028,210723,192911,90.5,88.3,80.8,85.77,7.11,7.12
90+,49190,47410,42325,83.8,80.8,72.1,76.52,10.67,12.81
