age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,22,112,342,93.6,51.2,36.6,0,0,0,0,0,0
12-15,13,149,106,45.1,47.6,39.2,0,0,0,0,0,0
16-19,13,361,82,43.6,86.5,61.9,0,0,1,0,0,0.8
20-29,57,1308,301,75.1,124.4,174.6,0,4,1,0,0.4,0.6
30-39,65,1481,363,77.4,150.6,289.5,0,3,2,0,0.3,1.6
40-49,82,1494,253,99.4,162.7,256.4,0,1,0,0,0.1,0
50-59,121,1585,211,162.9,215.6,369.5,0,11,5,0,1.5,8.8
60-69,252,3740,316,441.8,596.5,558.4,1,33,8,1.8,5.3,14.1
70-79,272,3983,277,682.7,865.5,1483,5,45,4,12.5,9.8,21.4
80+,244,3412,335,1240.7,1409.2,2027.7,9,73,21,45.8,30.2,127.1
