period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,741,2465,10.27,34.15
3_Month,5-11,2751,10105,8.27,30.38
6_Month,5-11,3616,18964,2.91,15.28
1_Year,5-11,4629,51569,0.77,8.55
All,5-11,4629,52072,0.64,7.22
1_Month,12-15,424,511,14.53,17.51
3_Month,12-15,1763,2402,10.9,14.86
6_Month,12-15,3125,4753,5.37,8.17
1_Year,12-15,8615,18073,3.19,6.69
All,12-15,8622,18529,2.5,5.38
1_Month,16-19,1081,313,23.93,6.93
3_Month,16-19,3276,1085,18.94,6.27
6_Month,16-19,5240,1976,9.95,3.75
1_Year,16-19,14392,10694,6.55,4.86
All,16-19,14478,11101,4.72,3.62
1_Month,20-29,3635,877,23.1,5.57
3_Month,20-29,9954,2794,18.44,5.18
6_Month,20-29,15593,4768,10.85,3.32
1_Year,20-29,36251,20756,7.48,4.29
All,20-29,36389,21455,5.61,3.31
1_Month,30-39,4233,1136,22.06,5.92
3_Month,30-39,11373,3546,16.91,5.27
6_Month,30-39,17116,5706,9.78,3.26
1_Year,30-39,35124,19159,6.63,3.62
All,30-39,35261,19643,5.38,3
1_Month,40-49,3706,875,20.01,4.73
3_Month,40-49,10687,2688,15.74,3.96
6_Month,40-49,15534,4268,9.12,2.51
1_Year,40-49,31349,14045,6.5,2.91
All,40-49,31499,14385,5.33,2.44
1_Month,50-59,2755,502,15.42,2.81
3_Month,50-59,7556,1578,11.77,2.46
6_Month,50-59,10780,2508,7.67,1.79
1_Year,50-59,20273,7568,6.05,2.26
All,50-59,20378,7783,4.93,1.88
1_Month,60-69,2181,300,10.73,1.48
3_Month,60-69,5676,890,8.18,1.28
6_Month,60-69,7603,1368,5.86,1.06
1_Year,60-69,12827,3956,5.03,1.55
All,60-69,12920,4072,4.21,1.33
1_Month,70-79,1428,136,7.74,0.74
3_Month,70-79,3513,374,5.69,0.61
6_Month,70-79,4303,534,4.28,0.53
1_Year,70-79,6395,1244,3.91,0.76
All,70-79,6436,1306,3.38,0.69
1_Month,80+,1106,125,9.48,1.07
3_Month,80+,2355,253,7.16,0.77
6_Month,80+,2851,356,5.61,0.7
1_Year,80+,4077,726,4.92,0.88
All,80+,4126,782,4.08,0.77
