age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,2.2,79.4,18.4
12-15,65.6,54.7,14.9,0,5,44.1,50.9
16-19,89.3,78.3,46,0.2,5.5,22.8,71.7
20-29,85.6,77.1,54.8,0.9,6.2,13.3,80.6
30-39,89,82,59.7,2,7.5,10.5,82
40-49,90.6,84.7,67.1,3.5,7.9,9,83.1
50-59,91.2,86.6,73.3,7.3,9,6.6,84.4
60-69,93.2,90.3,80.9,34.1,8,7.7,84.3
70-79,92.1,90.7,87.4,54.6,8,3.6,88.4
80+,95.3,93.3,87.5,58.1,7.4,6,86.6
