age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,130018,18460,31,10.5,1.5,0,0.08,99.92,0
12-15,387205,310573,7437,60.9,48.8,1.2,58.6,41.38,0.02
16-19,520198,452703,216909,88,76.6,36.7,65.16,20.74,14.09
20-29,1115965,997156,669844,84.6,75.6,50.8,67.45,15.45,17.1
30-39,1064070,975396,676067,88.1,80.8,56,70.78,12.39,16.82
40-49,998324,928051,708165,89.9,83.5,63.7,76.74,10.36,12.91
50-59,792416,746651,614408,90.6,85.4,70.2,80.99,8.71,10.3
60-69,690402,664378,581632,92.4,88.9,77.8,85.81,7.55,6.64
70-79,477304,467027,440306,90.6,88.6,83.6,88.64,6.28,5.08
80-89,215956,210632,192636,90.5,88.2,80.7,85.57,7.25,7.19
90+,49173,47388,42243,83.8,80.7,72,76.19,10.95,12.86
