period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,1404,4886,9.58,33.35
3_Month,5-11,2692,10239,7.79,29.64
6_Month,5-11,3838,27093,1.78,12.55
1_Year,5-11,4511,51345,0.74,8.41
All,5-11,4511,51741,0.63,7.19
1_Month,12-15,752,973,14.15,18.31
3_Month,12-15,1781,2432,10.55,14.41
6_Month,12-15,4303,6911,4.51,7.25
1_Year,12-15,8566,18053,3.14,6.62
All,12-15,8567,18430,2.49,5.35
1_Month,16-19,1728,518,23.22,6.96
3_Month,16-19,3178,1069,18.29,6.15
6_Month,16-19,6686,2792,8.43,3.52
1_Year,16-19,14252,10727,6.43,4.84
All,16-19,14307,11051,4.68,3.61
1_Month,20-29,5455,1450,21.93,5.83
3_Month,20-29,9555,2725,17.81,5.08
6_Month,20-29,18659,6208,9.69,3.22
1_Year,20-29,35697,20770,7.32,4.26
All,20-29,35771,21310,5.54,3.3
1_Month,30-39,6433,1848,20.67,5.94
3_Month,30-39,10922,3444,16.23,5.12
6_Month,30-39,20291,7357,8.48,3.07
1_Year,30-39,34447,19068,6.47,3.58
All,30-39,34544,19450,5.3,2.98
1_Month,40-49,5648,1415,18.78,4.71
3_Month,40-49,10233,2600,15.06,3.83
6_Month,40-49,17999,5424,7.87,2.37
1_Year,40-49,30702,13965,6.34,2.88
All,40-49,30813,14237,5.25,2.42
1_Month,50-59,4134,843,14.42,2.94
3_Month,50-59,7195,1533,11.3,2.41
6_Month,50-59,12254,3123,6.96,1.77
1_Year,50-59,19795,7523,5.89,2.24
All,50-59,19866,7706,4.84,1.88
1_Month,60-69,3138,480,9.98,1.53
3_Month,60-69,5365,843,7.83,1.23
6_Month,60-69,8206,1674,5.45,1.11
1_Year,60-69,12430,3899,4.89,1.53
All,60-69,12488,4004,4.12,1.32
1_Month,70-79,1916,223,6.91,0.8
3_Month,70-79,3250,362,5.38,0.6
6_Month,70-79,4362,638,3.99,0.58
1_Year,70-79,6086,1232,3.76,0.76
All,70-79,6113,1287,3.27,0.69
1_Month,80+,1383,153,8.42,0.93
3_Month,80+,2136,236,6.8,0.75
6_Month,80+,2778,403,5.05,0.73
1_Year,80+,3816,704,4.68,0.86
All,80+,3851,752,3.9,0.76
