period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,1721,6443,8.38,31.38
3_Month,5-11,2140,8470,6.54,25.9
6_Month,5-11,3738,45140,0.84,10.16
1_Year,5-11,3831,49057,0.63,8.05
All,5-11,3831,49372,0.54,6.93
1_Month,12-15,1121,1551,11.43,15.82
3_Month,12-15,1492,2118,8.92,12.66
6_Month,12-15,7464,14857,3.57,7.11
1_Year,12-15,8181,17611,3.01,6.47
All,12-15,8181,17953,2.4,5.26
1_Month,16-19,1870,659,18.55,6.54
3_Month,16-19,2385,869,15.32,5.58
6_Month,16-19,11591,7843,6.78,4.59
1_Year,16-19,13303,10479,6.08,4.79
All,16-19,13322,10765,4.41,3.57
1_Month,20-29,5327,1620,18.1,5.51
3_Month,20-29,6855,2112,14.57,4.49
6_Month,20-29,29027,15393,7.87,4.17
1_Year,20-29,32457,20030,6.81,4.2
All,20-29,32496,20505,5.14,3.24
1_Month,30-39,6097,2023,16.48,5.47
3_Month,30-39,7819,2612,12.8,4.28
6_Month,30-39,28440,14944,6.82,3.58
1_Year,30-39,30673,18093,5.91,3.49
All,30-39,30738,18424,4.84,2.9
1_Month,40-49,5916,1531,15.69,4.06
3_Month,40-49,7557,1997,12.18,3.22
6_Month,40-49,25313,10957,6.51,2.82
1_Year,40-49,27470,13204,5.83,2.8
All,40-49,27552,13449,4.83,2.36
1_Month,50-59,4045,920,11.48,2.61
3_Month,50-59,5224,1182,9.12,2.06
6_Month,50-59,16147,6007,5.87,2.18
1_Year,50-59,17411,7074,5.4,2.19
All,50-59,17466,7244,4.43,1.84
1_Month,60-69,2907,494,7.85,1.33
3_Month,60-69,3802,641,6.3,1.06
6_Month,60-69,9838,3169,4.73,1.52
1_Year,60-69,10557,3649,4.43,1.53
All,60-69,10597,3740,3.72,1.31
1_Month,70-79,1716,202,5.3,0.62
3_Month,70-79,2234,261,4.31,0.5
6_Month,70-79,4585,979,3.5,0.75
1_Year,70-79,4907,1105,3.33,0.75
All,70-79,4929,1156,2.88,0.68
1_Month,80+,1061,106,6.44,0.64
3_Month,80+,1350,152,5.29,0.6
6_Month,80+,2756,542,4.31,0.85
1_Year,80+,2921,603,4.03,0.83
All,80+,2953,649,3.32,0.73
