age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.1,17.7,0.1,0,14.9,77.2,7.9
12-15,65.6,54.6,14.8,0,25.4,42.9,31.8
16-19,89.3,78.2,45.9,0.2,25.1,22.5,52.4
20-29,85.6,77,54.7,0.8,23.1,13.4,63.5
30-39,88.9,81.9,59.7,2,25.7,10.6,63.7
40-49,90.5,84.7,67,3.4,26.4,9.1,64.5
50-59,91.2,86.5,73.3,7.1,26.3,6.8,66.9
60-69,93.1,90.3,80.8,33.8,38.1,7.8,54.1
70-79,92.1,90.6,87.3,54.3,46.6,4.4,49
80+,95.3,93.2,87.5,57.8,49.4,6.2,44.4
