age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,670,399,2274,373.2,421.4,244.5,0,0,1,0,0,0.1
12-15,239,585,447,151.8,296.7,168.1,1,0,0,0.6,0,0
16-19,121,1312,267,82.6,429.9,203.9,0,0,0,0,0,0
20-29,314,4518,828,104.3,545.6,473.4,0,0,1,0,0,0.6
30-39,492,5239,929,159.8,687.8,732,1,5,0,0.3,0.7,0
40-49,627,5193,743,215.3,730.9,742.8,1,9,3,0.3,1.3,3
50-59,954,4884,576,418.5,841.4,969.8,5,10,1,2.2,1.7,1.7
60-69,3722,6340,618,1318.1,1580.5,1069.4,19,27,10,6.7,6.7,17.3
70-79,4801,5381,488,1984.3,2115,2157.1,33,51,15,13.6,20,66.3
80+,3569,2884,474,2593,2333,2760.3,76,68,25,55.2,55,145.6
