instituteDesc,occupancy,gOccupancy,occupancyDate
Rabin K. HaSharon             ,52.6,61.4,2022-06-16T00:00:00.000Z
SOROKA MEDICAL CENTER         ,62.4,77.6,2022-06-16T00:00:00.000Z
MEIR HOSPITAL                 ,72.5,83,2022-06-16T00:00:00.000Z
PORIAH HOSPITAL               ,74.4,74.4,2022-06-16T00:00:00.000Z
HACARMEL HOSPITAL             ,75.5,76.9,2022-06-16T00:00:00.000Z
      ZIV HOSPITAL            ,75,67.4,2022-06-16T00:00:00.000Z
WOOLFSON MEDICAL CENTER       ,85.2,74.7,2022-06-16T00:00:00.000Z
Hadassah Mount Scopus         ,86.1,79.2,2022-06-16T00:00:00.000Z
HAEMEK VALLEY CENTER HOSPITAL ,86.5,73.8,2022-06-16T00:00:00.000Z
TEL AVIV MEDICAL CENTER       ,88.3,112.9,2022-06-16T00:00:00.000Z
HILLEL YAFFEH MEDICAL CENTER  ,89,92,2022-06-16T00:00:00.000Z
BNEI ZIOM MEDICAL CENTER      ,90.1,88.7,2022-06-16T00:00:00.000Z
ASSAF HAROFEH MEDICAL CENTER  ,91.1,72.2,2022-06-16T00:00:00.000Z
KAPLAN HOSPITAL               ,92.7,93.6,2022-06-16T00:00:00.000Z
BARZILAI MEDICAL CENTER       ,93.8,81.1,2022-06-16T00:00:00.000Z
YOSEPHTAL HOSPITAL            ,93.8,55.4,2022-06-16T00:00:00.000Z
Laniado                       ,94.9,80.2,2022-06-16T00:00:00.000Z
Shaare Zedek                  ,98.7,105.5,2022-06-16T00:00:00.000Z
Rambam                        ,100,88.6,2022-06-16T00:00:00.000Z
NAHARIYA                      ,102.1,95.3,2022-06-16T00:00:00.000Z
Rabin K. Beilinson            ,105.3,93.2,2022-06-16T00:00:00.000Z
Hadassah Ein Kerem            ,123.3,98.1,2022-06-16T00:00:00.000Z
