age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.1,17.7,0.1,0,19.9,77,3.1
12-15,65.6,54.6,14.8,0,33,42.6,24.3
16-19,89.3,78.2,45.9,0.2,30.3,22.4,47.3
20-29,85.6,77,54.7,0.8,26.9,13.5,59.6
30-39,88.9,81.9,59.7,2,30.5,10.6,58.9
40-49,90.5,84.7,67,3.3,31.6,9.1,59.3
50-59,91.2,86.5,73.3,7,31.2,6.9,61.9
60-69,93.1,90.2,80.8,33.7,49.6,7.8,42.6
70-79,92,90.6,87.3,54.2,64.1,4.6,31.3
80+,95.3,93.2,87.5,57.7,64.3,6.3,29.4
