age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,136228,23681,31,11,1.9,0,0.1,99.9,0
12-15,388079,311592,8240,61,49,1.3,58.6,41.38,0.02
16-19,520376,452868,217746,88,76.6,36.8,65.28,20.73,13.98
20-29,1116257,997522,671025,84.6,75.6,50.9,67.59,15.41,17
30-39,1064293,975681,677042,88.2,80.8,56.1,70.91,12.36,16.73
40-49,998481,928257,708914,89.9,83.6,63.8,76.83,10.33,12.83
50-59,792501,746785,614856,90.6,85.4,70.3,81.07,8.67,10.26
60-69,690459,664470,581863,92.4,88.9,77.9,85.85,7.54,6.61
70-79,477339,467079,440454,90.6,88.6,83.6,88.7,6.23,5.07
80-89,215980,210654,192716,90.5,88.2,80.7,85.63,7.2,7.16
90+,49179,47393,42265,83.8,80.8,72,76.32,10.84,12.84
