age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,202490,76766,34,16.4,6.2,0,4.63,95.36,0
12-15,397240,321364,24672,62.5,50.5,3.9,58.95,41.03,0.02
16-19,522155,454493,229336,88.3,76.9,38.8,66.21,20.54,13.25
20-29,1119462,1000814,681365,84.8,75.9,51.6,68.43,15.15,16.43
30-39,1066628,978080,686120,88.4,81,56.8,71.64,12.15,16.2
40-49,1000074,930196,715506,90,83.7,64.4,77.37,10.19,12.44
50-59,793419,748036,618799,90.7,85.5,70.8,81.5,8.51,9.99
60-69,691027,665369,584221,92.5,89,78.2,86.09,7.44,6.47
70-79,477605,467605,441869,90.6,88.7,83.9,89.05,5.98,4.97
80-89,216111,210885,193277,90.5,88.3,81,85.93,7.01,7.06
90+,49208,47443,42427,83.8,80.8,72.3,76.87,10.38,12.75
