cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
אבו ג'ווייעד (שבט),קטן מ-15,אין מידע,22,47.32,7.43,כתום,4649
אבו גוש,קטן מ-15,אין מידע,38,48.33,7.22,כתום,7862
אבו סנאן,קטן מ-15,אין מידע,43,30.06,7.25,כתום,14306
אבן יהודה,48,22.75,211,150.33,9.93,אדום,14036
אבני חפץ,קטן מ-15,אין מידע,18,86.58,8.5,אדום,2079
אום אל-פחם,קטן מ-15,אין מידע,66,11.64,5.03,צהוב,56713
אופקים,53,26.77,198,61.15,9.93,אדום,32378
אור יהודה,73,25.61,285,77.90,9.51,אדום,36587
אור עקיבא,44,20.75,212,109.18,10,אדום,19417
אורנית,17,17.35,98,108.77,9.74,אדום,9010
אזור,28,22.22,126,95.25,9.99,אדום,13228
אחוזת ברק,קטן מ-15,אין מידע,40,166.81,10,אדום,2398
אילת,93,25.91,359,68.37,9.05,אדום,52507
אכסאל,קטן מ-15,אין מידע,35,23.27,5.75,צהוב,15039
אלון שבות,קטן מ-15,אין מידע,29,93.22,9.64,אדום,3111
אליכין,17,38.64,44,126.95,10,אדום,3466
אלעד,16,32.65,49,9.96,7.68,אדום,49179
אלעזר,קטן מ-15,אין מידע,21,85.78,10,אדום,2448
אלפי מנשה,35,28.93,121,151.04,9.95,אדום,8011
אלקנה,26,23.42,111,280.37,10,אדום,3959
אעבלין,קטן מ-15,אין מידע,20,14.80,5.38,צהוב,13515
אפרת,52,31.71,164,143.61,10,אדום,11420
אריאל,34,19.54,174,84.93,10,אדום,20488
אשדוד,305,20.66,1476,65.21,9.51,אדום,226329
אשקלון,336,24.07,1396,95.33,9.97,אדום,146442
באקה אל-גרביה,21,37.50,56,18.39,4.98,צהוב,30448
באר יעקב,99,34.74,285,98.90,10,אדום,28818
באר שבע,550,22.89,2403,114.09,9.98,אדום,210624
בית אל,קטן מ-15,אין מידע,42,70.87,10,אדום,5926
בית אריה,18,32.73,55,102.96,10,אדום,5342
בית ג'ן,קטן מ-15,אין מידע,22,18.08,6.52,כתום,12169
בית דגן,קטן מ-15,אין מידע,79,108.25,9.67,אדום,7298
בית חשמונאי,16,44.44,36,164.46,10,אדום,2189
בית יצחק-שער חפר,15,36.59,41,191.23,10,אדום,2144
בית שאן,55,25.00,220,115.91,9.93,אדום,18980
בית שמש,73,21.86,334,25.26,8.44,אדום,132210
ביתר עילית,קטן מ-15,אין מידע,22,3.59,4.09,ירוק,61297
בני ברק,27,14.92,181,8.70,5.53,צהוב,208031
"בני עי""ש",קטן מ-15,אין מידע,46,66.65,9.15,אדום,6902
בנימינה-גבעת עדה,42,22.70,185,115.83,9.94,אדום,15971
בסמת טבעון,קטן מ-15,אין מידע,18,22.50,4.88,צהוב,8001
בת חפר,22,27.50,80,151.57,10,אדום,5278
בת ים,195,19.17,1017,79.59,9.3,אדום,127772
ג'דיידה-מכר,קטן מ-15,אין מידע,31,14.53,6.61,כתום,21331
ג'לג'וליה,קטן מ-15,אין מידע,21,20.40,5.48,צהוב,10295
ג'ת,קטן מ-15,אין מידע,18,14.69,5.7,צהוב,12252
גבע בנימין,קטן מ-15,אין מידע,20,34.74,8.91,אדום,5757
גבעת אבני,קטן מ-15,אין מידע,31,149.04,10,אדום,2080
גבעת ברנר,22,35.48,62,232.65,10,אדום,2665
גבעת זאב,קטן מ-15,אין מידע,80,41.66,8.94,אדום,19205
גבעת שמואל,93,25.91,359,131.81,10,אדום,27236
גבעתיים,188,21.99,855,140.46,10,אדום,60872
גדרה,113,30.21,374,129.84,9.98,אדום,28805
גן יבנה,92,32.39,284,118.89,10,אדום,23887
גן נר,קטן מ-15,אין מידע,34,125.93,9.81,אדום,2700
גני תקווה,90,29.70,303,140.88,9.9,אדום,21508
דאלית אל-כרמל,קטן מ-15,אין מידע,43,24.07,5.99,צהוב,17862
דייר חנא,קטן מ-15,אין מידע,22,21.03,5.41,צהוב,10459
דימונה,94,29.56,318,90.98,9.45,אדום,34954
הוד השרון,295,28.67,1029,158.91,10,אדום,64755
הושעיה,קטן מ-15,אין מידע,33,157.97,10,אדום,2089
הר אדר,קטן מ-15,אין מידע,68,165.98,10,אדום,4097
הרצליה,329,21.82,1508,152.00,10,אדום,99208
זכרון יעקב,82,24.62,333,141.68,10,אדום,23503
זמר,קטן מ-15,אין מידע,22,30.46,5.86,צהוב,7223
חדרה,208,23.11,900,90.98,9.98,אדום,98928
חולון,374,21.20,1764,89.77,9.88,אדום,196510
חורה,קטן מ-15,אין מידע,23,9.97,3.97,ירוק,23062
חיפה,574,20.92,2744,96.29,9.78,אדום,284981
חספין,קטן מ-15,אין מידע,18,87.76,7.78,אדום,2051
חצור הגלילית,25,25.00,100,104.84,10,אדום,9538
חריש,50,29.94,167,85.17,10,אדום,19608
חשמונאים,קטן מ-15,אין מידע,24,89.79,9.94,אדום,2673
טבריה,54,20.77,260,56.91,9.84,אדום,45686
טייבה,קטן מ-15,אין מידע,46,10.32,5.06,צהוב,44582
טירה,קטן מ-15,אין מידע,51,18.91,5.82,צהוב,26972
טירת כרמל,50,22.12,226,93.06,9.94,אדום,24285
טלמון,קטן מ-15,אין מידע,31,64.37,9.81,אדום,4816
טמרה,קטן מ-15,אין מידע,31,8.89,5.9,צהוב,34859
יבנאל,קטן מ-15,אין מידע,21,48.24,9.01,אדום,4353
יבנה,154,29.50,522,104.91,10,אדום,49759
יד בנימין,קטן מ-15,אין מידע,35,82.37,10,אדום,4249
יהוד,80,24.17,331,110.32,9.99,אדום,30003
יפיע,קטן מ-15,אין מידע,27,13.99,5.61,צהוב,19298
יקיר,קטן מ-15,אין מידע,27,113.21,10,אדום,2385
יקנעם עילית,97,28.53,340,141.31,10,אדום,24061
ירוחם,32,26.67,120,112.36,10,אדום,10680
ירושלים,620,18.93,3276,34.38,7.85,אדום,952916
כאבול,קטן מ-15,אין מידע,20,14.05,3.54,ירוק,14234
כוכב השחר,קטן מ-15,אין מידע,18,77.05,8.5,אדום,2336
כוכב יאיר,40,23.53,170,194.55,10,אדום,8738
כוכב יעקב,קטן מ-15,אין מידע,16,17.95,7.22,כתום,8912
כסיפה,17,43.59,39,17.40,6.2,כתום,22418
