age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,2464,2,3158,846.4,,344.4,0,0,2,0,,0.2
12-15,1522,731,694,509.6,1014.2,279.1,1,0,0,0.3,0,0
16-19,1977,304,294,504.8,434.7,251.1,1,0,0,0.3,0,0
20-29,6919,573,931,720.4,368,520,0,0,1,0,0,0.6
30-39,7688,671,1043,834.9,504.7,783.3,6,1,3,0.7,0.8,2.3
40-49,7522,464,750,839.6,475.8,730.7,6,2,5,0.7,2.1,4.9
50-59,6231,277,661,848.5,415.8,1019,11,1,12,1.5,1.5,18.5
60-69,6741,208,672,1036.5,545.1,1238.9,35,3,14,5.4,7.9,25.8
70-79,4785,124,453,996.1,568.2,2062.1,41,2,18,8.5,9.2,81.9
80-89,1941,82,267,908.7,556.5,3286.6,44,5,23,20.6,33.9,283.1
90+,497,25,75,984.7,345.7,,13,5,7,25.8,69.1,
