age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25,17.5,0,0,18.78,68.3,12.92
12-15,65.5,54.4,14.4,0,29.17,30.62,40.21
16-19,89.3,78.1,45.7,0.1,50.44,2.74,46.81
20-29,85.7,77,54.5,0.7,59.08,-5.05,45.97
30-39,89.1,82,59.5,1.7,63.23,-10.67,47.44
40-49,90.6,84.6,66.8,2.8,69.99,-15.32,45.33
50-59,91.1,86.3,73,5.8,75.71,-14.94,39.23
60-69,92.8,89.8,80.3,31.1,81.87,-11.43,29.57
70-79,90.9,89.4,86,50,88.28,-10.97,22.69
80-89,90.9,89.1,83.5,52,87.28,-9.25,21.97
90+,84.4,81.8,76.2,50.1,84.59,-14.14,29.56
