age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,0.6,80,19.4
12-15,65.7,54.7,15,0,1.6,44.8,53.6
16-19,89.3,78.3,46,0.2,1.4,23.1,75.5
20-29,85.6,77.1,54.8,0.9,2,13.1,84.9
30-39,89,82,59.8,2.1,2.2,10.5,87.3
40-49,90.6,84.8,67.1,3.5,2.6,8.9,88.5
50-59,91.2,86.6,73.3,7.3,3.7,6.4,89.9
60-69,93.2,90.3,80.9,34.2,4.5,7.6,87.9
70-79,92.1,90.7,87.4,54.7,4.9,3.1,92
80+,95.3,93.3,87.6,58.1,4.2,5.7,90
