period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,167,479,11.57,33.19
3_Month,5-11,2689,9733,8.8,31.84
6_Month,5-11,3416,14685,4.56,19.59
1_Year,5-11,4742,51436,0.85,9.17
All,5-11,4742,52405,0.66,7.26
1_Month,12-15,137,148,17.15,18.52
3_Month,12-15,1733,2308,12.04,16.04
6_Month,12-15,2539,3667,6.9,9.96
1_Year,12-15,8696,17698,3.41,6.93
All,12-15,8722,18632,2.53,5.4
1_Month,16-19,274,74,25.35,6.85
3_Month,16-19,3301,1085,20.12,6.61
6_Month,16-19,4512,1675,12.39,4.6
1_Year,16-19,14512,10294,6.96,4.94
All,16-19,14675,11155,4.77,3.63
1_Month,20-29,959,190,23.86,4.73
3_Month,20-29,10164,2765,19.73,5.37
6_Month,20-29,14150,4151,12.48,3.66
1_Year,20-29,36745,20035,8.05,4.39
All,20-29,37062,21574,5.69,3.31
1_Month,30-39,1054,267,22.5,5.7
3_Month,30-39,11582,3520,18.17,5.52
6_Month,30-39,15607,5041,11.44,3.69
1_Year,30-39,35687,18757,7.09,3.73
All,30-39,35954,19810,5.46,3.01
1_Month,40-49,1021,198,20.92,4.06
3_Month,40-49,10922,2678,17.02,4.17
6_Month,40-49,14407,3833,10.71,2.85
1_Year,40-49,31966,13854,6.92,3
All,40-49,32234,14520,5.43,2.44
1_Month,50-59,802,121,16.47,2.49
3_Month,50-59,7741,1600,12.73,2.63
6_Month,50-59,10129,2301,8.6,1.95
1_Year,50-59,20768,7533,6.39,2.32
All,50-59,20936,7871,5.02,1.89
1_Month,60-69,667,100,11.23,1.68
3_Month,60-69,5840,911,8.81,1.37
6_Month,60-69,7463,1272,6.41,1.09
1_Year,60-69,13253,3976,5.27,1.58
All,60-69,13383,4135,4.3,1.33
1_Month,70-79,503,47,8.57,0.8
3_Month,70-79,3705,390,6.24,0.66
6_Month,70-79,4453,505,4.68,0.53
1_Year,70-79,6727,1265,4.1,0.77
All,70-79,6796,1339,3.49,0.69
1_Month,80+,439,35,11.71,0.93
3_Month,80+,2562,264,7.84,0.81
6_Month,80+,2982,342,6.13,0.7
1_Year,80+,4333,746,5.23,0.9
All,80+,4403,805,4.25,0.78
