age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,359214,291152,635971,56.5,45.8,484,0.1
16-19,511709,443124,591331,86.5,74.9,187205,31.7
20-29,1098022,980831,1319364,83.2,74.3,610769,46.3
30-39,1051984,964031,1207243,87.1,79.9,626499,51.9
40-49,990197,919626,1110965,89.1,82.8,676142,60.9
50-59,787554,741061,874608,90,84.7,595198,68.1
60-69,687559,660796,747217,92,88.4,571003,76.4
70-79,475830,465052,526929,90.3,88.3,434294,82.4
80-89,215364,209705,238729,90.2,87.8,190031,79.6
90+,48989,47181,58687,83.5,80.4,41458,70.6
