age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
12-15,72,0,607,20.9,0,239.6,0,0,0,0,0,0
16-19,74,108,242,21.3,113.6,195.4,0,0,0,0,0,0
20-29,114,241,462,14,99.7,211.9,0,1,5,0,0.4,2.3
30-39,210,299,471,26.4,137.7,297.9,0,0,14,0,0,8.9
40-49,169,196,412,20.9,127,338.6,1,0,32,0.1,0,26.3
50-59,70,103,222,10.3,107.4,266.9,2,5,46,0.3,5.2,55.3
60-69,74,73,145,11.8,139.9,243.3,10,6,43,1.6,11.5,72.2
70-79,71,38,98,15.6,135.6,247.6,9,3,20,2,10.7,50.5
80-89,52,17,52,26.2,97.5,266.4,5,1,11,2.5,5.7,56.4
90+,6,4,16,14.2,55.1,214.2,2,0,7,4.7,0,93.7
