age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,319304,230522,635971,50.2,36.2,221,0
16-19,487675,418828,591331,82.5,70.8,95992,16.2
20-29,1058959,958137,1319364,80.3,72.6,328739,24.9
30-39,1023371,945901,1207243,84.8,78.4,384406,31.8
40-49,969188,904759,1110965,87.2,81.4,494947,44.6
50-59,774937,730503,874608,88.6,83.5,489879,56
60-69,681469,653896,747217,91.2,87.5,519935,69.6
70-79,473133,461068,526929,89.8,87.5,410531,77.9
80-89,214129,208110,238729,89.7,87.2,179317,75.1
90+,48687,46813,58687,83,79.8,38494,65.6
