age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,873,461,3037,443.3,590.9,326.8,0,0,1,0,0,0.1
12-15,389,613,613,225.7,335.6,230.7,1,0,0,0.6,0,0
16-19,168,1550,328,107.6,523.8,251.1,0,0,0,0,0,0
20-29,395,5560,998,125.2,683.6,569.9,0,0,2,0,0,1.1
30-39,664,6698,1198,204.2,899.7,942.8,1,4,0,0.3,0.5,0
40-49,816,6689,904,263.7,966.2,902.4,1,6,1,0.3,0.9,1
50-59,1214,6024,678,500.4,1065.1,1136.6,4,11,3,1.6,1.9,5
60-69,5208,5816,693,1513.5,1714.1,1196.1,18,21,5,5.2,6.2,8.6
70-79,6728,4034,513,2130.7,2238.6,2227.6,33,46,17,10.5,25.5,73.8
80+,4558,1991,526,2637.1,2256,3033.1,74,52,20,42.8,58.9,115.3
