period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,1488,5760,7.95,30.76
3_Month,5-11,1887,7816,5.79,23.97
6_Month,5-11,3512,45772,0.76,9.93
1_Year,5-11,3541,48117,0.58,7.93
All,5-11,3541,48407,0.5,6.82
1_Month,12-15,1046,1476,10.78,15.21
3_Month,12-15,1398,2000,8.28,11.84
6_Month,12-15,7744,15920,3.5,7.2
1_Year,12-15,8040,17437,2.96,6.43
All,12-15,8040,17770,2.36,5.22
1_Month,16-19,1644,608,17.29,6.39
3_Month,16-19,2140,811,14.06,5.33
6_Month,16-19,12392,8969,6.78,4.91
1_Year,16-19,12989,10389,5.97,4.77
All,16-19,13006,10674,4.33,3.55
1_Month,20-29,4709,1441,17.02,5.21
3_Month,20-29,6181,1953,13.36,4.22
6_Month,20-29,30152,16919,7.74,4.34
1_Year,20-29,31549,19780,6.67,4.18
All,20-29,31588,20244,5.03,3.22
1_Month,30-39,5288,1807,15.33,5.24
3_Month,30-39,6998,2394,11.53,3.94
6_Month,30-39,28551,15724,6.63,3.65
1_Year,30-39,29585,17761,5.76,3.46
All,30-39,29646,18090,4.71,2.87
1_Month,40-49,5263,1355,14.83,3.82
3_Month,40-49,6779,1835,11.04,2.99
6_Month,40-49,25522,11632,6.37,2.9
1_Year,40-49,26480,12945,5.68,2.78
All,40-49,26557,13188,4.7,2.33
1_Month,50-59,3551,817,10.73,2.47
3_Month,50-59,4688,1072,8.37,1.91
6_Month,50-59,16125,6332,5.75,2.26
1_Year,50-59,16672,6913,5.26,2.18
All,50-59,16726,7080,4.3,1.82
1_Month,60-69,2566,426,7.36,1.22
3_Month,60-69,3406,580,5.82,0.99
6_Month,60-69,9747,3324,4.64,1.58
1_Year,60-69,10052,3558,4.31,1.53
All,60-69,10089,3649,3.61,1.31
1_Month,70-79,1544,164,5.04,0.53
3_Month,70-79,1993,225,4.02,0.45
6_Month,70-79,4452,1001,3.42,0.77
1_Year,70-79,4605,1061,3.23,0.75
All,70-79,4625,1112,2.79,0.67
1_Month,80+,914,94,6.07,0.62
3_Month,80+,1178,140,4.92,0.58
6_Month,80+,2634,556,4.2,0.89
1_Year,80+,2717,588,3.9,0.84
All,80+,2749,633,3.19,0.74
