age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.8,16.8,0,0,22.5,77.5,0
12-15,65.4,54.1,13.8,0,55.95,39.39,4.65
16-19,89.2,77.9,45.2,0.1,69.69,19.86,10.46
20-29,85.5,76.7,54,0.3,73.07,14.24,12.69
30-39,88.9,81.7,59.1,1,76.16,11.45,12.39
40-49,90.4,84.3,66.4,1.6,80.69,9.62,9.7
50-59,91,86.1,72.6,3,83.95,7.9,8.14
60-69,92.7,89.7,80,28.2,87.29,7.23,5.48
70-79,90.8,89.3,85.7,46.3,90.5,5.13,4.37
80-89,90.8,88.9,83.2,48.4,88.09,5.53,6.38
90+,84.3,81.6,75.6,46.1,81.59,6.13,12.28
