instituteDesc,occupancy,gOccupancy,occupancyDate
,,,2022-11-19T00:00:00.000Z
Yosephtal Hospital            ,62.5,55.4,2022-11-19T00:00:00.000Z
Rabin K. Hasharon             ,62.3,63.5,2022-11-19T00:00:00.000Z
Soroka Medical Center         ,66.7,69.9,2022-11-19T00:00:00.000Z
Hadassah Mount Scopus         ,72.2,70.1,2022-11-19T00:00:00.000Z
Tel Aviv Medical Center       ,93.7,101.4,2022-11-19T00:00:00.000Z
,,,2022-11-19T00:00:00.000Z
Poriah Hospital               ,75.6,65.9,2022-11-19T00:00:00.000Z
Meir Hospital                 ,76,83.9,2022-11-19T00:00:00.000Z
Assaf Harofeh Medical Center  ,81.5,63.3,2022-11-19T00:00:00.000Z
Barzilai Medical Center       ,85.9,70.7,2022-11-19T00:00:00.000Z
Shmuel Harofe                 ,88.9,75.4,2022-11-19T00:00:00.000Z
Bnei Ziom Medical Center      ,90.9,70,2022-11-19T00:00:00.000Z
Assuta Ashdod                 ,123.7,96.2,2022-11-19T00:00:00.000Z
,,,2022-11-19T00:00:00.000Z
Haemek Valley Center Hospital ,96.8,67.8,2022-11-19T00:00:00.000Z
Hillel Yaffeh Medical Center  ,97.3,78.8,2022-11-19T00:00:00.000Z
Hadassah Ein Kerem            ,124.3,88.1,2022-11-19T00:00:00.000Z
Hacarmel Hospital             ,,,2022-11-19T00:00:00.000Z
The Holy Family               ,,,2022-11-19T00:00:00.000Z
,,,2022-11-19T00:00:00.000Z
Woolfson Medical Center       ,72.1,68.2,2022-11-19T00:00:00.000Z
      Ziv Hospital            ,76.6,65.1,2022-11-19T00:00:00.000Z
Laniado                       ,97.4,93.4,2022-11-19T00:00:00.000Z
,,41.4,2022-11-19T00:00:00.000Z
Mayanei Hayeshua              ,,,2022-11-19T00:00:00.000Z
Chaim Sheba Medical Center    ,100.8,100.6,2022-11-19T00:00:00.000Z
Nahariya                      ,109.5,83.7,2022-11-19T00:00:00.000Z
,,,2022-11-19T00:00:00.000Z
Rambam                        ,102.5,81,2022-11-19T00:00:00.000Z
Kaplan Hospital               ,110,101.1,2022-11-19T00:00:00.000Z
Rabin K. Beilinson            ,116.7,92,2022-11-19T00:00:00.000Z
Shaare Zedek                  ,,,2022-11-19T00:00:00.000Z
