age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,350429,276281,635971,55.1,43.4,417,0.1
16-19,504870,436432,591331,85.4,73.8,165391,28
20-29,1085607,973872,1319364,82.3,73.8,547606,41.5
30-39,1043876,958929,1207243,86.5,79.4,580187,48.1
40-49,984693,915984,1110965,88.6,82.4,645298,58.1
50-59,784101,738566,874608,89.7,84.4,576776,65.9
60-69,685627,658941,747217,91.8,88.2,560886,75.1
70-79,474747,463766,526929,90.1,88,428625,81.3
80-89,214901,209157,238729,90,87.6,186997,78.3
90+,48866,47054,58687,83.3,80.2,40447,68.9
