age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,1,44,92,21.1,20,9.7,0,0,0,0,0,0
12-15,3,124,40,57.6,38.8,14.1,0,0,0,0,0,0
16-19,7,397,45,195,91,32.5,0,0,0,0,0,0
20-29,15,990,101,155.2,88.2,61.1,0,0,1,0,0,0.6
30-39,24,756,105,189.9,71.6,85.1,0,0,1,0,0,0.8
40-49,25,917,75,145.8,92.9,80,0,2,0,0,0.2,0
50-59,37,958,64,147.6,121.2,127.8,0,5,2,0,0.6,4
60-69,123,1390,98,236,219.4,179.5,2,11,1,3.8,1.7,1.8
70-79,303,1493,84,390.9,344,1202.2,2,25,5,2.6,5.8,71.6
80+,235,1174,102,521.2,535.1,743.8,4,43,10,8.9,19.6,72.9
