period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
6_Month,5-11,1225,36054,0.24,7.19
All,5-11,1225,36617,0.19,5.76
1_Year,5-11,1225,36532,0.22,6.65
3_Month,5-11,1225,34952,0.3,8.6
1_Month,5-11,761,20219,0.34,8.91
1_Month,12-15,3090,5749,3.18,5.91
All,12-15,6087,14562,2.01,4.8
1_Year,12-15,6087,14440,2.5,5.93
6_Month,12-15,6065,14051,2.73,6.31
3_Month,12-15,5998,13368,3.08,6.87
6_Month,16-19,9835,8808,5.62,5.03
3_Month,16-19,9703,8140,6.25,5.24
1_Year,16-19,9941,9104,5.27,4.83
All,16-19,9950,9343,3.74,3.51
1_Month,16-19,4336,2428,5.75,3.22
1_Year,20-29,22378,16791,5.8,4.35
6_Month,20-29,22190,16205,6.32,4.61
All,20-29,22389,17145,4.24,3.25
3_Month,20-29,21796,14737,7.13,4.82
1_Month,20-29,10113,4747,6.92,3.25
3_Month,30-39,19313,12758,5.93,3.92
6_Month,30-39,19628,13845,5.27,3.72
1_Year,30-39,19812,14274,4.88,3.52
All,30-39,19818,14492,3.88,2.84
1_Month,30-39,10085,5151,5.75,2.94
1_Month,40-49,8500,3688,5.3,2.3
1_Year,40-49,17372,10312,4.85,2.88
All,40-49,17384,10478,3.87,2.34
6_Month,40-49,17220,10051,5.22,3.05
3_Month,40-49,16964,9408,5.72,3.17
3_Month,50-59,10206,4974,5.37,2.62
All,50-59,10453,5476,3.59,1.88
1_Year,50-59,10444,5348,4.66,2.38
6_Month,50-59,10340,5237,5.02,2.54
1_Month,50-59,5231,1952,5.04,1.88
1_Month,60-69,2692,1003,4.09,1.52
All,60-69,5751,2795,3.04,1.48
1_Year,60-69,5744,2736,3.94,1.88
6_Month,60-69,5671,2681,4.27,2.02
3_Month,60-69,5604,2600,4.51,2.09
1_Year,70-79,2284,769,3.06,1.03
6_Month,70-79,2241,744,3.33,1.1
3_Month,70-79,2199,720,3.48,1.14
All,70-79,2289,803,2.37,0.83
1_Month,70-79,1009,310,3.05,0.94
6_Month,80-89,975,313,3.64,1.17
1_Month,80-89,421,141,3.08,1.03
3_Month,80-89,958,305,3.88,1.24
1_Year,80-89,999,320,3.3,1.06
All,80-89,1009,348,2.42,0.83
3_Month,90+,345,77,5.26,1.17
All,90+,369,93,3.1,0.78
1_Year,90+,366,82,4.53,1.01
6_Month,90+,352,79,4.94,1.11
1_Month,90+,149,41,4.06,1.12
