age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25,17.4,0,0,24.26,75.74,0
12-15,65.5,54.3,14.2,0,54.5,39.46,6.04
16-19,89.3,78,45.5,0.1,69.91,19.91,10.17
20-29,85.6,76.8,54.3,0.5,74.1,14.04,11.86
30-39,89,81.9,59.3,1.4,77.4,11.33,11.27
40-49,90.5,84.5,66.6,2.4,81.61,9.49,8.9
50-59,91.1,86.2,72.8,4.9,84.62,7.71,7.66
60-69,92.7,89.7,80.1,30,87.69,7.15,5.16
70-79,90.9,89.4,85.9,48.6,91.16,4.67,4.17
80-89,90.8,89,83.4,50.8,88.69,5.13,6.18
90+,84.4,81.7,75.9,48.7,82.75,5.14,12.11
