instituteDesc,occupancy,gOccupancy,occupancyDate
Yosephtal Hospital            ,56.3,38.5,2022-09-19T00:00:00.000Z
Rabin K. Hasharon             ,60.5,68,2022-09-19T00:00:00.000Z
Soroka Medical Center         ,75.2,87.3,2022-09-19T00:00:00.000Z
Bnei Ziom Medical Center      ,81.8,86.1,2022-09-19T00:00:00.000Z
Poriah Hospital               ,85.9,79.7,2022-09-19T00:00:00.000Z
Barzilai Medical Center       ,87.5,82.5,2022-09-19T00:00:00.000Z
Assaf Harofeh Medical Center  ,95.4,77.7,2022-09-19T00:00:00.000Z
Rambam                        ,103.5,91.1,2022-09-19T00:00:00.000Z
Shmuel Harofe                 ,105.6,85,2022-09-19T00:00:00.000Z
Chaim Sheba Medical Center    ,113,110.7,2022-09-19T00:00:00.000Z
Kaplan Hospital               ,119.3,100.4,2022-09-19T00:00:00.000Z
