period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,1465,5373,9.08,33.28
3_Month,5-11,2618,10081,7.62,29.35
6_Month,5-11,3861,30865,1.48,11.8
1_Year,5-11,4413,51133,0.72,8.36
All,5-11,4413,51510,0.61,7.16
1_Month,12-15,809,1064,13.68,18
3_Month,12-15,1750,2404,10.37,14.24
6_Month,12-15,4894,7998,4.27,6.97
1_Year,12-15,8520,18010,3.12,6.6
All,12-15,8521,18377,2.48,5.34
1_Month,16-19,1809,571,22.24,7.02
3_Month,16-19,3073,1048,17.98,6.13
6_Month,16-19,7541,3305,7.89,3.46
1_Year,16-19,14141,10714,6.38,4.84
All,16-19,14183,11023,4.64,3.61
1_Month,20-29,5762,1581,21.55,5.91
3_Month,20-29,9211,2654,17.5,5.04
6_Month,20-29,20356,7123,9.16,3.21
1_Year,20-29,35318,20700,7.25,4.25
All,20-29,35382,21219,5.49,3.29
1_Month,30-39,6819,1987,20.21,5.89
3_Month,30-39,10554,3338,15.94,5.04
6_Month,30-39,21889,8310,8.04,3.05
1_Year,30-39,34024,18957,6.4,3.56
All,30-39,34114,19321,5.25,2.97
1_Month,40-49,6005,1512,18.4,4.63
3_Month,40-49,9864,2533,14.75,3.79
6_Month,40-49,19329,6189,7.46,2.39
1_Year,40-49,30295,13892,6.26,2.87
All,40-49,30397,14154,5.19,2.42
1_Month,50-59,4333,923,13.95,2.97
3_Month,50-59,6935,1493,11.07,2.38
6_Month,50-59,12994,3493,6.65,1.79
1_Year,50-59,19496,7473,5.83,2.23
All,50-59,19562,7655,4.79,1.87
1_Month,60-69,3287,520,9.67,1.53
3_Month,60-69,5165,819,7.68,1.22
6_Month,60-69,8474,1843,5.24,1.14
1_Year,60-69,12201,3874,4.83,1.53
All,60-69,12256,3975,4.07,1.32
1_Month,70-79,1983,234,6.67,0.79
3_Month,70-79,3118,351,5.28,0.59
6_Month,70-79,4419,673,3.89,0.59
1_Year,70-79,5941,1216,3.71,0.76
All,70-79,5966,1270,3.23,0.69
1_Month,80+,1390,147,8.09,0.86
3_Month,80+,2016,224,6.61,0.73
6_Month,80+,2765,414,4.87,0.73
1_Year,80+,3682,693,4.57,0.86
All,80+,3714,739,3.81,0.76
