day_date,age_group,serious_amount_vaccinated,serious_amount_expired,serious_amount_not_vaccinated,new_serious_amount_vaccinated,new_serious_amount_expired,new_serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_expired_normalized,serious_not_vaccinated_normalized,new_serious_vaccinated_normalized,new_serious_expired_normalized,new_serious_not_vaccinated_normalized
2021-01-17T00:00:00.000Z,מעל גיל 60,3,0,555,2,0,57,,,119.9,,,12.3
2021-01-17T00:00:00.000Z,כלל האוכלוסיה,8,1,803,3,0,93,35.9,,11.1,13.5,,1.3
2021-01-17T00:00:00.000Z,מתחת לגיל 60,5,1,248,1,0,36,37,,3.6,7.4,,0.5
2021-01-18T00:00:00.000Z,מתחת לגיל 60,4,0,233,0,0,32,17.4,,3.5,0,,0.5
2021-01-18T00:00:00.000Z,כלל האוכלוסיה,8,0,791,2,0,97,19,,11,4.7,,1.4
2021-01-18T00:00:00.000Z,מעל גיל 60,4,0,558,2,0,65,21,,122.3,10.5,,14.2
2021-01-19T00:00:00.000Z,מתחת לגיל 60,4,0,223,0,0,34,11.1,,3.3,0,,0.5
2021-01-19T00:00:00.000Z,מעל גיל 60,2,0,557,0,0,71,4.7,,123.9,0,,15.8
2021-01-19T00:00:00.000Z,כלל האוכלוסיה,6,0,780,0,0,105,7.7,,11,0,,1.5
2021-01-20T00:00:00.000Z,כלל האוכלוסיה,6,0,766,1,0,90,4.4,,10.9,0.7,,1.3
2021-01-20T00:00:00.000Z,מעל גיל 60,3,0,541,1,0,60,3.6,,122,1.2,,13.5
2021-01-20T00:00:00.000Z,מתחת לגיל 60,3,0,225,0,0,30,5.7,,3.4,0,,0.5
2021-01-21T00:00:00.000Z,מתחת לגיל 60,4,0,229,1,0,38,5.7,,3.5,1.4,,0.6
2021-01-21T00:00:00.000Z,כלל האוכלוסיה,9,0,739,3,0,89,4.4,,10.6,1.5,,1.3
2021-01-21T00:00:00.000Z,מעל גיל 60,5,0,510,2,0,51,3.7,,116.8,1.5,,11.7
2021-01-22T00:00:00.000Z,כלל האוכלוסיה,8,0,726,0,0,83,3.3,,10.5,0,,1.2
2021-01-22T00:00:00.000Z,מתחת לגיל 60,4,0,235,0,0,34,5.2,,3.6,0,,0.5
2021-01-22T00:00:00.000Z,מעל גיל 60,4,0,491,0,0,49,2.4,,113.4,0,,11.3
2021-01-23T00:00:00.000Z,מתחת לגיל 60,4,0,243,1,0,29,4.9,,3.8,1.2,,0.4
2021-01-23T00:00:00.000Z,מעל גיל 60,4,0,491,1,0,46,2.2,,114.2,0.5,,10.7
2021-01-23T00:00:00.000Z,כלל האוכלוסיה,8,0,734,2,0,75,3,,10.7,0.7,,1.1
2021-01-24T00:00:00.000Z,כלל האוכלוסיה,9,0,742,1,0,88,2.5,,10.9,0.3,,1.3
2021-01-24T00:00:00.000Z,מעל גיל 60,4,0,490,0,0,50,1.6,,115.7,0,,11.8
2021-01-24T00:00:00.000Z,מתחת לגיל 60,5,0,252,1,0,38,4.8,,3.9,1,,0.6
2021-01-25T00:00:00.000Z,מתחת לגיל 60,6,0,232,1,0,32,4.2,,3.7,0.7,,0.5
2021-01-25T00:00:00.000Z,כלל האוכלוסיה,9,0,714,1,0,104,1.9,,10.6,0.2,,1.5
2021-01-25T00:00:00.000Z,מעל גיל 60,3,0,481,0,0,71,0.9,,115.5,0,,17.1
2021-01-26T00:00:00.000Z,כלל האוכלוסיה,6,0,728,0,0,99,1,,11,0,,1.5
2021-01-26T00:00:00.000Z,מתחת לגיל 60,4,0,254,0,0,49,2.1,,4.1,0,,0.8
2021-01-26T00:00:00.000Z,מעל גיל 60,2,0,473,0,0,50,0.5,,115.4,0,,12.2
