age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.21,81.45,18.34
12-15,65.7,54.7,15,0,0.63,47.74,51.63
16-19,89.3,78.3,46,0.2,0.57,24.5,74.93
20-29,85.7,77.2,54.8,0.9,0.84,12.56,86.6
30-39,89.1,82.1,59.8,2.1,1.43,10.26,88.3
40-49,90.6,84.8,67.1,3.6,2.17,8.36,89.47
50-59,91.3,86.6,73.4,7.4,4.33,5.42,90.25
60-69,93.2,90.4,80.9,34.2,11.89,7.45,80.66
70-79,92.1,90.7,87.4,54.8,26.09,0.53,73.38
80+,95.3,93.3,87.6,58.2,28.29,2.71,69
