age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,10.9,77.7,11.5
12-15,65.6,54.6,14.9,0,17.3,43.2,39.6
16-19,89.3,78.2,46,0.2,18.3,22.6,59.1
20-29,85.6,77.1,54.7,0.8,18,13.4,68.7
30-39,88.9,82,59.7,2,20,10.6,69.4
40-49,90.6,84.7,67,3.5,20.4,9,70.6
50-59,91.2,86.6,73.3,7.2,20.3,6.8,72.9
60-69,93.2,90.3,80.8,34,18.3,7.7,73.9
70-79,92.1,90.6,87.3,54.5,18.1,4.1,77.8
80+,95.3,93.2,87.5,58,17.1,6.1,76.7
