period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,1682,6170,8.91,32.67
3_Month,5-11,2541,9799,7.39,28.51
6_Month,5-11,3897,37075,1.15,10.96
1_Year,5-11,4292,50691,0.7,8.28
All,5-11,4292,51048,0.6,7.11
1_Month,12-15,1011,1361,13.06,17.58
3_Month,12-15,1717,2373,10.05,13.89
6_Month,12-15,5897,10250,3.9,6.78
1_Year,12-15,8450,17947,3.09,6.57
All,12-15,8451,18304,2.46,5.33
1_Month,16-19,2059,681,20.8,6.88
3_Month,16-19,2923,1013,17.22,5.97
6_Month,16-19,9042,4486,7.25,3.6
1_Year,16-19,13941,10664,6.3,4.82
All,16-19,13972,10960,4.59,3.6
1_Month,20-29,6205,1739,20.49,5.74
3_Month,20-29,8710,2528,16.83,4.88
6_Month,20-29,23916,9453,8.53,3.37
1_Year,20-29,34611,20547,7.13,4.23
All,20-29,34667,21042,5.4,3.28
1_Month,30-39,7207,2234,18.92,5.86
3_Month,30-39,9927,3204,15.2,4.91
6_Month,30-39,24889,10597,7.46,3.18
1_Year,30-39,33216,18797,6.27,3.55
All,30-39,33295,19141,5.15,2.96
1_Month,40-49,6679,1698,17.72,4.5
3_Month,40-49,9374,2426,14.16,3.67
6_Month,40-49,22107,7742,7.04,2.47
1_Year,40-49,29649,13754,6.16,2.86
All,40-49,29743,14008,5.11,2.41
1_Month,50-59,4655,1015,13.17,2.87
3_Month,50-59,6541,1430,10.59,2.31
6_Month,50-59,14498,4310,6.29,1.87
1_Year,50-59,18987,7385,5.72,2.22
All,50-59,19048,7563,4.7,1.87
1_Month,60-69,3481,571,9.11,1.49
3_Month,60-69,4843,782,7.33,1.18
6_Month,60-69,9078,2252,5.02,1.25
1_Year,60-69,11799,3834,4.73,1.54
All,60-69,11848,3931,3.99,1.32
1_Month,70-79,2071,255,6.21,0.76
3_Month,70-79,2928,334,5.06,0.58
6_Month,70-79,4557,780,3.76,0.64
1_Year,70-79,5701,1201,3.62,0.76
All,70-79,5725,1252,3.15,0.69
1_Month,80+,1384,144,7.48,0.78
3_Month,80+,1819,205,6.18,0.7
6_Month,80+,2750,468,4.54,0.77
1_Year,80+,3455,669,4.39,0.85
All,80+,3487,715,3.66,0.75
