period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,165,340,18.52,38.16
3_Month,5-11,468,1002,16.48,35.29
6_Month,5-11,3143,10663,9.5,32.25
1_Year,5-11,5218,51641,1.06,10.49
All,5-11,5218,53436,0.72,7.37
1_Month,12-15,369,153,36.83,15.27
3_Month,12-15,742,425,28.14,16.12
6_Month,12-15,2461,2713,14.69,16.19
1_Year,12-15,9410,17726,3.94,7.43
All,12-15,9474,19068,2.72,5.48
1_Month,16-19,833,113,45.57,6.18
3_Month,16-19,1358,215,39.57,6.26
6_Month,16-19,4634,1288,23.68,6.58
1_Year,16-19,15831,10094,7.92,5.05
All,16-19,16044,11372,5.16,3.66
1_Month,20-29,2123,181,45.86,3.91
3_Month,20-29,3488,369,38.89,4.11
6_Month,20-29,13559,3111,22.76,5.22
1_Year,20-29,40074,19358,9.16,4.42
All,20-29,40569,21952,6.14,3.32
1_Month,30-39,2028,244,40.76,4.9
3_Month,30-39,3564,497,34.25,4.78
6_Month,30-39,15061,3978,20.59,5.44
1_Year,30-39,39097,18443,8.09,3.82
All,30-39,39543,20313,5.91,3.03
1_Month,40-49,2513,182,44.54,3.23
3_Month,40-49,4258,440,36.19,3.74
6_Month,40-49,15111,3090,20.16,4.12
1_Year,40-49,36130,13780,7.97,3.04
All,40-49,36530,14962,6.03,2.47
1_Month,50-59,2066,189,35.39,3.24
3_Month,50-59,3491,363,28.05,2.92
6_Month,50-59,11176,1948,15.46,2.69
1_Year,50-59,24212,7681,7.38,2.34
All,50-59,24453,8241,5.69,1.92
1_Month,60-69,1649,112,26.38,1.79
3_Month,60-69,2933,198,20.3,1.37
6_Month,60-69,8747,1106,10.96,1.39
1_Year,60-69,16175,4109,6.2,1.58
All,60-69,16344,4336,5.02,1.33
1_Month,70-79,1080,63,17.63,1.03
3_Month,70-79,2070,108,13.63,0.71
6_Month,70-79,5751,497,7.8,0.67
1_Year,70-79,8788,1352,4.97,0.76
All,70-79,8882,1446,4.23,0.69
1_Month,80+,759,80,17.72,1.87
3_Month,80+,1357,129,14.46,1.37
6_Month,80+,3904,389,9.37,0.93
1_Year,80+,5685,864,6.27,0.95
All,80+,5765,934,5.1,0.83
