age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,2,60,108,43.8,27.5,11.3,0,0,0,0,0,0
12-15,7,157,54,136.4,49.5,18.9,0,0,0,0,0,0
16-19,7,493,69,190.8,113.3,49.6,0,0,0,0,0,0
20-29,18,1097,131,171.3,97.7,79.7,0,0,1,0,0,0.6
30-39,35,952,140,233.4,90.4,113.9,0,1,1,0,0.1,0.8
40-49,45,1087,109,216,110.4,117.1,0,2,0,0,0.2,0
50-59,74,1202,107,233.2,153.1,218.3,0,4,0,0,0.5,0
60-69,259,1673,128,367.9,271.8,235.9,1,13,3,1.4,2.1,5.5
70-79,441,1664,113,412.7,409.4,2189.9,4,29,2,3.7,7.1,38.8
80+,493,1312,165,778.3,650.4,1259.7,4,39,12,6.3,19.3,91.6
