age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,0,32,95,0,14.8,9.9,0,0,0,0,0,0
12-15,2,84,31,46.1,26.7,10.7,0,1,0,0,0.3,0
16-19,5,535,60,143.9,123.5,42.5,0,0,1,0,0,0.7
20-29,7,1038,100,63.2,92.4,61.3,0,0,0,0,0,0
30-39,27,734,118,159.2,69.8,96.3,1,1,1,5.9,0.1,0.8
40-49,50,876,93,210.6,89.2,101.1,0,1,1,0,0.1,1.1
50-59,68,896,78,183.9,114.7,163.8,0,9,2,0,1.2,4.2
60-69,242,1427,115,280.9,238.3,208,0,18,6,0,3,10.9
70-79,529,1309,120,401.3,341.8,3261.8,3,36,6,2.3,9.4,163.1
80+,593,1156,156,769.9,599.1,1918.6,6,39,8,7.8,20.2,98.4
