period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,151,283,20.27,37.99
3_Month,5-11,403,812,18.22,36.71
6_Month,5-11,2024,6006,11.4,33.83
1_Year,5-11,5319,51292,1.11,10.68
All,5-11,5339,53672,0.74,7.4
1_Month,12-15,277,140,36.88,18.64
3_Month,12-15,725,353,33.86,16.49
6_Month,12-15,1747,1539,19.94,17.56
1_Year,12-15,9464,17512,4.07,7.54
All,12-15,9673,19180,2.78,5.5
1_Month,16-19,934,114,48.82,5.96
3_Month,16-19,1956,247,45.69,5.77
6_Month,16-19,4058,851,31.39,6.58
1_Year,16-19,16406,9946,8.31,5.04
All,16-19,16838,11459,5.39,3.67
1_Month,20-29,2267,209,47.97,4.42
3_Month,20-29,4845,452,44.49,4.15
6_Month,20-29,11504,2081,28.62,5.18
1_Year,20-29,41443,19155,9.58,4.43
All,20-29,42447,22122,6.39,3.33
1_Month,30-39,2219,272,44.5,5.46
3_Month,30-39,4714,585,39.9,4.95
6_Month,30-39,12587,2684,26.02,5.55
1_Year,30-39,40549,18360,8.46,3.83
All,30-39,41382,20522,6.14,3.05
1_Month,40-49,2609,209,47.79,3.83
3_Month,40-49,5699,477,42.95,3.6
6_Month,40-49,12870,2145,26.05,4.34
1_Year,40-49,37926,13726,8.43,3.05
All,40-49,38697,15142,6.34,2.48
1_Month,50-59,2152,185,38.66,3.32
3_Month,50-59,4712,436,34.17,3.16
6_Month,50-59,10062,1434,20.58,2.93
1_Year,50-59,25776,7726,7.86,2.36
All,50-59,26241,8390,6.04,1.93
1_Month,60-69,1805,119,30.1,1.98
3_Month,60-69,3922,260,25.28,1.68
6_Month,60-69,8138,865,14.73,1.57
1_Year,60-69,17549,4160,6.68,1.58
All,60-69,17833,4436,5.39,1.34
1_Month,70-79,1221,65,20.98,1.12
3_Month,70-79,2665,140,17.23,0.91
6_Month,70-79,5513,418,10.48,0.79
1_Year,70-79,9763,1391,5.42,0.77
All,70-79,9905,1496,4.61,0.7
1_Month,80+,830,67,18.8,1.52
3_Month,80+,1800,153,16.96,1.44
6_Month,80+,3872,371,11.77,1.13
1_Year,80+,6352,911,6.77,0.97
All,80+,6458,984,5.53,0.84
