age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,223702,89684,37,18.1,7.2,0,7.6,92.4,0
12-15,400266,323864,33683,62.9,50.9,5.3,59.08,40.89,0.04
16-19,522843,455118,234457,88.4,77,39.6,66.52,20.47,13.01
20-29,1120739,1001973,685582,84.9,75.9,52,68.7,15.07,16.23
30-39,1067578,978956,689947,88.4,81.1,57.2,71.89,12.07,16.03
40-49,1000727,930872,718578,90.1,83.8,64.7,77.57,10.1,12.34
50-59,793773,748569,620964,90.8,85.6,71,81.65,8.44,9.91
60-69,691232,665741,585613,92.5,89.1,78.4,86.09,7.47,6.44
70-79,477678,467802,442709,90.7,88.8,84,89.06,5.99,4.95
80-89,216145,210963,193589,90.5,88.4,81.1,86.47,6.44,7.09
90+,49226,47467,42503,83.9,80.9,72.4,78.46,8.54,12.99
