period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,264,2740,0.87,9.03
3_Month,5-11,1457,36984,0.34,8.71
6_Month,5-11,1457,37490,0.31,8.07
1_Year,5-11,1457,38684,0.26,6.91
All,5-11,1457,38782,0.22,5.88
1_Month,12-15,471,717,3.25,4.95
3_Month,12-15,6351,13878,3.1,6.78
6_Month,12-15,6377,14115,2.97,6.57
1_Year,12-15,6452,15000,2.6,6.04
All,12-15,6452,15139,2.05,4.81
1_Month,16-19,668,283,5.12,2.17
3_Month,16-19,10233,8335,6.18,5.03
6_Month,16-19,10270,8536,5.99,4.98
1_Year,16-19,10487,9306,5.38,4.77
All,16-19,10496,9567,3.79,3.45
1_Month,20-29,1881,562,6.11,1.83
3_Month,20-29,23319,15114,7.06,4.58
6_Month,20-29,23460,15584,6.83,4.54
1_Year,20-29,23937,17187,5.96,4.28
All,20-29,23955,17593,4.32,3.17
1_Month,30-39,1703,541,4.89,1.55
3_Month,30-39,20660,13134,5.86,3.73
6_Month,30-39,20813,13552,5.66,3.68
1_Year,30-39,21197,14663,4.98,3.44
All,30-39,21219,14928,3.93,2.77
1_Month,40-49,1471,404,4.41,1.21
3_Month,40-49,18125,9683,5.61,3
6_Month,40-49,18254,9925,5.46,2.97
1_Year,40-49,18569,10597,4.89,2.79
All,40-49,18596,10792,3.9,2.26
1_Month,50-59,974,258,4.11,1.09
3_Month,50-59,10996,5161,5.25,2.47
6_Month,50-59,11050,5272,5.15,2.46
1_Year,50-59,11234,5535,4.67,2.3
All,50-59,11260,5678,3.62,1.82
1_Month,60-69,524,140,3.13,0.84
3_Month,60-69,6029,2713,4.37,1.96
6_Month,60-69,6066,2748,4.29,1.95
1_Year,60-69,6176,2846,3.92,1.81
All,60-69,6196,2915,3.05,1.43
1_Month,70-79,199,37,2.01,0.37
3_Month,70-79,2350,744,3.29,1.04
6_Month,70-79,2372,755,3.25,1.03
1_Year,70-79,2436,789,2.97,0.96
All,70-79,2448,828,2.33,0.79
1_Month,80-89,91,20,2.55,0.56
3_Month,80-89,1031,323,3.74,1.17
6_Month,80-89,1035,330,3.66,1.17
1_Year,80-89,1072,338,3.29,1.04
All,80-89,1085,368,2.43,0.82
1_Month,90+,27,6,3.3,0.73
3_Month,90+,367,82,5.08,1.14
6_Month,90+,370,82,4.99,1.11
1_Year,90+,385,86,4.49,1
All,90+,392,97,3.11,0.77
